"REF_DATE","GEO","DGUID","Duration of unemployment","Age group","Sex","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1984-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1462.3","","","","1"
"1984-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1425.9","","","","1"
"1985-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1364.7","","","","1"
"1985-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1386.0","","","","1"
"1985-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1421.4","","","","1"
"1985-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1404.4","","","","1"
"1985-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1371.8","","","","1"
"1985-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1391.3","","","","1"
"1985-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1358.4","","","","1"
"1985-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1348.1","","","","1"
"1985-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1331.7","","","","1"
"1985-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1355.4","","","","1"
"1985-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1350.2","","","","1"
"1985-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1326.1","","","","1"
"1986-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1300.2","","","","1"
