Date,Nom_GDP_CAN,Real_GDP_CAN,CPI_CAN,UNEMP_CAN,WUICAN,CAN_unc_h1,CAN_unc_h2,CAN_unc_h4,mean_EPU_CAN,mean_UNEMP_DUR_1_4,mean_UNEMP_DUR_TOT,mean_PROB_JOB_FINDING,mean_OUTFLOW_RATE,mean_US_unc_h1,mean_US_unc_h3,mean_US_unc_h12
1972-10-01,29846,160387.8,17.6455096128522,6.46666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.640297555924628,0.775025141540755,0.896625336555399
1973-01-01,31215,164576,17.9615485909929,5.86666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.674875711261358,0.815038253550081,0.926209518019669
1973-04-01,32538,166361,18.3565973136687,5.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.697024241081855,0.848739579997326,0.959851370878885
1973-07-01,33663,166963.3,18.9096655254148,5.4,0.2297794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.781177234573208,0.935956853102102,1.01140107935802
1973-10-01,35664,170083.5,19.2520410850672,5.53333333333333,0.2132878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.781701959111713,0.931680616301255,1.01343496505715
1974-01-01,37356,171344.5,19.6997629707664,5.23333333333333,0.309374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.771779641042921,0.916324900690359,1.00555606581754
1974-04-01,39022,173219.5,20.3845140900711,5.2,0.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.765678093197583,0.91776947596682,1.00913528324816
1974-07-01,40596,173067.3,20.9902554648407,5.26666666666667,0.2640148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.798169570424401,0.949487236206486,1.02391142219309
1974-10-01,41332,172264.5,21.5959968396102,5.66666666666667,0.0990295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.863013255397701,0.996607634097047,1.02809117057492
1975-01-01,41893,171182,21.991045562286,6.7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.829335377655292,0.956530747844635,1.00270285045967
1975-04-01,43437,173406.8,22.5177771925204,6.83333333333333,0.3075977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.763583550868205,0.888444794546212,0.967138332655583
1975-07-01,45582,176663.3,23.2552014748486,6.96666666666667,0.1631055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.714945257380082,0.837776161435837,0.936178015846478
1975-10-01,47133,178724,23.7292599420595,7.13333333333333,0.0911993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65151113957468,0.783513517938142,0.910089628218253
1976-01-01,49072,181821,24.0716355017119,6.93333333333333,0.3696584,NaN,NaN,NaN,NaN,221.366666666667,718.166666666667,31.7422524988543,38.2678184086818,0.632603508353357,0.764218029293153,0.897509829737622
1976-04-01,51567,185755.3,24.4140110613642,6.86666666666667,0.0437331,NaN,NaN,NaN,NaN,230.266666666667,718.133333333333,29.905169068708,35.6413888060028,0.602888732762215,0.733040355160403,0.878696648464671
1976-07-01,52116,186582.5,24.7827232025283,7.16666666666667,0,NaN,NaN,NaN,NaN,237.666666666667,753.4,31.3050172318035,37.6594158393723,0.591238700765115,0.719380773867263,0.869020659376902
1976-10-01,53252,186967,25.1250987621807,7.43333333333333,0.3239391,NaN,NaN,NaN,NaN,244.366666666667,785.966666666667,29.8773438340978,35.5056856711219,0.62175343234609,0.7455189353007,0.877118950660189
1977-01-01,54973,189625.8,25.6518303924151,7.76666666666667,0.1794473,NaN,NaN,NaN,NaN,250.5,829.933333333333,29.4277925569718,34.887168155005,0.619540176022374,0.742898267717994,0.8740787465258
1977-04-01,56193,190644.5,26.3102449302081,7.83333333333333,0,NaN,NaN,NaN,NaN,262.333333333333,842.933333333333,30.7528314403463,36.7669542512258,0.565948164864536,0.698764172770091,0.858663909389168
1977-07-01,57426,191653,26.8633131419542,8.2,0.122489,NaN,NaN,NaN,NaN,276.166666666667,885.9,29.2730514023221,34.6409968702689,0.564029499069779,0.694645117994868,0.857495885577242
1977-10-01,58987,194683.3,27.4163813537003,8.46666666666667,0,NaN,NaN,NaN,NaN,272.3,921.8,29.9254202979672,35.5721605249155,0.600137213607598,0.725376300305532,0.867829761944055
1978-01-01,60324,196320.3,27.9694495654464,8.36666666666667,0.1475361,NaN,NaN,NaN,NaN,273.733333333333,920.033333333333,28.7866023567741,33.960350300929,0.650997008086553,0.770241269935985,0.888058199322491
1978-04-01,62162,197667,28.6278641032394,8.46666666666667,0.0610091,NaN,NaN,NaN,NaN,268.933333333333,941.333333333333,28.5433082104173,33.6147139022062,0.613209222443392,0.747367726629005,0.889829105747357
